dTime,ang,err,sum,last,diff,turn,speedL,speedR
0.100002875,0.006544279,0.006544279,-0.152370801,-0.118137851,0.124682131,0.002028727,0.252028727,0.247971273
0.100724333,0.070659883,0.070659883,-0.029904845,0.006544279,0.064115604,0.021904564,0.271904564,0.228095436
0.100003812,0.006544279,0.006544279,-0.013192919,0.070659883,-0.064115604,0.002028727,0.252028727,0.247971273
0.100005791,-0.057570737,-0.057570737,-0.066278063,0.006544279,-0.064115016,-0.017846928,0.232153072,0.267846928
0.100147354,-0.118966192,-0.118966192,-0.162709714,-0.057570737,-0.061395455,-0.03687952,0.21312048,0.28687952
0.100002145,-0.121964835,-0.121964835,-0.229353246,-0.118966192,-0.002998643,-0.037809099,0.212190901,0.287809099
0.100000896,-0.118966192,-0.118966192,-0.270339334,-0.121964835,0.002998643,-0.03687952,0.21312048,0.28687952
0.10000553,0.007839601,0.007839601,-0.170584359,-0.118966192,0.126805793,0.002430276,0.252430276,0.247569724
0.100003969,0.130964205,0.130964205,0.018378528,0.007839601,0.123124603,0.040598903,0.290598903,0.209401097
0.100000322,0.132127061,0.132127061,0.14425689,0.130964205,0.001162857,0.040959389,0.290959389,0.209040611
0.100005166,0.008998618,0.008998618,0.104208166,0.132127061,-0.123128443,0.002789572,0.252789572,0.247210428
0.100005635,-0.114949577,-0.114949577,-0.046172187,0.008998618,-0.123948195,-0.035634369,0.214365631,0.285634369
0.100002771,-0.177435055,-0.177435055,-0.207908699,-0.114949577,-0.062485479,-0.055004867,0.194995133,0.305004867
0.100003708,-0.053895291,-0.053895291,-0.191115032,-0.177435055,0.123539764,-0.01670754,0.23329246,0.26670754
0.100004437,0.008589664,0.008589664,-0.117546258,-0.053895291,0.062484954,0.002662796,0.252662796,0.247337204
0.100003916,0.009407563,0.009407563,-0.068172967,0.008589664,8.18E-04,0.002916345,0.252916345,0.247083655
0.100002718,0.003408429,0.003408429,-0.041585729,0.009407563,-0.005999134,0.001056613,0.251056613,0.248943387
0.100755896,0.065481655,0.065481655,0.038035074,0.003408429,0.062073226,0.020299313,0.270299313,0.229700687
0.100001416,0.062483609,0.062483609,0.087586758,0.065481655,-0.002998047,0.019369919,0.269369919,0.230630081
0.100004281,0,0,0.05780726,0.062483609,-0.062483609,0,0.25,0.25
0.100003968,-0.063848592,-0.063848592,-0.025695801,0,-0.063848592,-0.019793064,0.230206936,0.269793064
